village,soil,total_sqft,density,price(*100)
Gagaul,2 index,934 - 1437,2,58.68
Gangheri,2 index,900,2,56
Gejha,2 index,1350,2,91
Ghat,1 index,700,1,36
Govindpur,2 index,980 - 1030,2,35.175
Govindpur Urf Ghasauli,2 index,1160,2,46.39
Gyanpur,3 index,1680,3,99.27
Hajipur,2 index,1043,2,55
Hasanpur Qadim,4 index,1200,4,120
Hasanpur Razapur,2 index,1040,2,46
Idris Pur,3 index,1357,2,65
Ikla,7 index,1600,7,104
Incholi,2 index,1225,2,47
Islamabad Chhilora,9 index,1500,6,80
Itayira,2 index,1130,2,40
Jalalpur,4 index,2500,4,150
Jalaluddinpur Masoodpur Gawri,3 index,1700,3,120
Jamalpur Majra,3 index,1549,3,65
Jangethi,2 index,1400,2,100
Jani Buzurg,2 index,1080,2,50
Jani Khurd,2 index,1180,2,100
Janjokhar,7 index,780,7,150
Jasora,3 index,1800,3,150
Jasori,2 index,1225,2,67.38
Jataula,1 index,890,1,75
Jatpura,2 index,1005,2,39.59
Jithauli,2 index,1320,2,95
Johra,4 index,1475,2,50
Jurranpur,3 index,1564 - 1850,,99.745
Kaili,2 index,1110,2,51
Kaithwari,2 index,1300,2,54
Kalanjari,5 index,600,3,86
Kalina,2 index,1128,2,65.35
Kalyan Pur,2 index,1452.19,2,100
Kamalpur,3 index,2400,3,290
Kanauni,3 index,2600,4,135
Kastala Shamshernagar,3 index,2500,4,325
Kaul,2 index,630,1,35
Kazamabadgoon,2 index,1243,2,48.5
Khajuri,2 index,960,2,32
Khandawali,3 index,1690,3,100
Khanpur,2 index,735,2,35
Khanpur,2 index,1365,2,73
Khardoni Shekhupur,5 index,2849,5,300
Kharkhari,2 index,1420,2,99.39
Kharkhauda,3 index,1570,3,68
Kharkhoda (NP),2 index,850,1,32
Khaspur,3 index,1575,2,110
Khawajahanpur,2 index,1418,2,104
Khera Balrampur,2 index,1050,2,42
Kheri Nizd Kalina,2 index,1065,2,42.6
Kherki Muzakkipur,3 index,1340,3,90
Khwajampur Majra,3 index,1610,3,92
Kinannagar,2 index,1160,2,33.5
Kishori,2 index,1092,2,44
Kitholi,2 index,1194,2,47
Kudhla,3 index,1455,3,61.5
Kunkura,1 index,734,1,19.82
Kurali,2 index,799,2,38
Kuri,3 index,1896,3,75
Ladpura,2 index,1100,2,48
Laharra,2 index,1350,2,79
Lahaurgarh,3 index,1355,3,61
Mahroli,2 index,1128,2,65
Makarmatpur Bharapur,2 index,1350,2,90
Mamipur,3 index,3875,3,864
Mansabgarh,3 index,1493,3,82
Masoori,2 index,1098,2,43.91
Mau Khas,3 index,1900,2,170
Medpur,3 index,1460,3,88
Meerut (CB),3 index,2350,4,285
Meerut (M Corp.),5 index,1600,5,140
Mehpa,2 index,1091,2,32
Mewla,2 index,1180,2,42
Mirpur,2 index,1366,3,76.85
Mirpur Jakhera,3 index,1685,3,95
Mirzapur,2 index,1260,2,100
Mohd.Pur Gumi,3 index,3010,3,200
Mohdpur Dhumi,3 index,1330,4,140
Mohiuddinpur (CT),2 index,1200,2,130
Mohiuddinpur Lalsana,2 index,1346,2,96.17
Morna,1 index,630,1,13.86
Mundali,3 index,1446 - 1506,,98.94
Murlipur Phool,3 index,1850,3,140
Muzaffarnagar Saini,5 index,2350,2,423
Muzakkipur,2 index,755,1,34
Nagla Kaboolpur,5 index,800,5,98
Nagla Kumbha,2 index,1194,2,46
Nagla Mal,3 index,3850,5,316
Nagla Patu,4 index,4235,4,365
Nagla Shekhu,1 index,800,1,52
Nagli Azamabad,3 index,2250,3,195
Nalpur,2 index,1352,2,68
Nanu Fatahpur,3 index,2002,3,112
Narahara,4 index,4000,5,280
Narangpur,2 index,1060,2,45
Nek,3 index,1419.59,2,59
Nityanandpur,2 index,1196,2,51.15
Pabla,3 index,1220,2,35.24
Pachgaon Patti Amar Singh,3 index,1595,3,75
Pachgaon Patti Gopal,2 index,1260,2,75
Pachgaon Patti Sanwal,2 index,1100,2,47
Pachpera,2 index,1550,2,140
Paindapur,2 index,1180,2,52
Panchi,4 index,4000,5,150
Panchli Khurd,3 index,1662,3,85
Pastra,2 index,1285,2,60
Patti Kherki,4 index,1080,4,75
Peepli Khera,3 index,1862,3,119
Pepla,2 index,1419,2,48
Puth Khas,3 index,1410,3,43.71
Puthri,3 index,1560,2,62.4
Qasimpur,5 index,1100,4,150
Raghunathpur,3 index,1634,3,78
Rajpura,5 index,5530,5,627
Rajpura,3 index,1150,2,44
Rali Chauhan,2 index,1100,2,53
Rampur Moti,3 index,1616,3,65
Rasna Mohammadpur Akbarpur,2 index,1392,2,99
Rasulpur Aurangabad,3 index,1798,3,120
Rasulpur Dhantala,3 index,1675,3,75
Rasulpur Dhaulri,2 index,792,2,70
Rasulpur Marhi,5 index,2000,4,103
Rasulpur Rohta,7 index,600,7,89
Rasulpur Zahid,3 index,1700,3,124
Rawa,2 index,1248,2,69
Rukanpur,2 index,1147,2,54
Ruknuddinpur Misri Urf Phaphun,2 index,1100,2,40
Sadharanpur,3 index,1527,3,115
Sadullapur Urf Chandpura,5 index,2400,5,235
Salahpur,1 index,525,1,25
Salarpur Jalalpur,2 index,1100,2,58
Saleh Nagar,2 index,1118,2,37.5
Salempur,3 index,1476,3,75
Sameypur,3 index,2100,3,75
Satwai,3 index,1215,2,46.5
Set Kuan,2 index,1332,2,79
Sewalkhas (NP),2 index,1350,2,49
Shafiabad Loti,4 index,600,4,81
Shahpur Jainpur,2 index,1243,2,46
Shakarpur,2 index,1105,2,49.73
Shaulana,3 index,1500,2,200
Shekhpuri,2 index,1200,2,50
Shipura,2 index,1251,2,47.4
Sial,2 index,883,2,45
Sikarpur,3 index,1400,2,67
Sikhera,3 index,1800,3,260
Sikri,3 index,1703,3,113
Sindhawali (CT),5 index,2500,5,130
Sisola Buzurg,3 index,1250,3,71
Sisola Khurd,2 index,933,2,43
Sisoli,1 index,461.82,1,31.7
Siwal Khas,2 index,1262,2,75
Soharka,2 index,915,2,48
Tatina Sani,3 index,1370,2,61.5
Thirot,2 index,1210,2,55
Tikri,3 index,2392,4,260
Timakia,3 index,1500,2,85
Ukasia,2 index,1065,2,50
Ukhleena,4 index,3100,4,570
Uldeypur,3 index,1515,3,65
Uldhan,4 index,1800,4,110
Uplehra,3 index,1445,2,40.31
Yusufabad,3 index,1300,2,55
Achikalan,2 index,989,2,60
Afjalpur Urf Raninagla,2 index,1300,2,85
Agwanpur,3 index,1185,2,30.22
Ahmadnagar Badhla,5 index,1350,3,110
Ahmadpur Urf Dandoopur,2 index,1045,2,60
Ahmadpuri Urf Amanpuri,2 index,1205,2,42.18
Aidalpur,2 index,1260,2,75
Aidalpur,5 index,1320,5,199
Akbaarpur Khadar,3 index,1500,2,125
Akbarpur Garhi,3 index,1250,2,42.5
Akbarpur Ichchhabad,2 index,1199,2,50
Akbarpur Sadat,2 index,1385,2,83.09
Akheypur,6 index,1222,5,250
Alamgirpur Badhla,2 index,1149,2,75
Alawalpur,3 index,2180,3,170
Alipur Alampur,8 index,1200,7,110
Alipur Morna,10 index,12000,12,525
Amarpur Mazra Khandawli,5 index,1200,5,195
Amarsinghpur,3 index,1818,3,135
Ameharasani,2 index,1070,2,33
Aminabad Urf Baragoan,3 index,1640,3,241
Amroli Urf Baragoan,3 index,1350,2,54.6
Asfabad,2 index,630,1,27
Asilpur,2 index,1430,2,113
Askaripur,3 index,2430,4,180
Assa,6 index,1500,7,220
Atalpur,2 index,1084,2,55
Atmadpur,3 index,1186,2,56
Attaura,2 index,1255,2,50
Badhwa,4 index,3400,5,240
Badhwi,3 index,1541,3,69.84
Badshahpur,4 index,3596,5,282
Baghpur,2 index,1295,2,70
Bahadurpur,3 index,1000,4,110
Bahorpur,3 index,2820,3,285
Bahsuma (NP),3 index,1370,2,54.79
Bajampur,2 index,1100,2,40
Bali,4 index,4772,6,510
Bamnaula,2 index,1370,2,170
Bamnauli,3 index,1370,2,54.79
Bana,2 index,1200,2,62
Barauda,4 index,2000,3,95
Basiviran,4 index,3500,4,300
Bastora Norang,5 index,1200,4,240
Batawli,4 index,2400,5,253
Batnor,3 index,1220,3,62
Behbalpur,3 index,1950,3,130
Behjadka,2 index,1178,2,73
Behlolpur,3 index,1286,3,61.44
Behrora,2 index,1160,2,42
Behsuma,2 index,918,2,55
Bela,3 index,1563,3,91.84
Bhagawanpur,2 index,1326,2,62.17
Bhagupur,3 index,1350,2,140
Bhagwanpur Bangar,4 index,3960,5,386
Bhagwanpur Khadar,2 index,1240,2,39.06
Bhainsa,2 index,1325,2,50
Bharolli,2 index,1100,2,44
Bhattipura,3 index,3875,3,800
Bhirwara,3 index,1605,3,50
Bhndora,5 index,5600,5,515
Bhogpur,2 index,1260,2,60
Bhojpur,3 index,1553,3,83.09
Bhuwa,2 index,1280,2,52
Bisola,3 index,1550,2,75
Bondra,3 index,1445,2,125
Chak Paswara,3 index,1550,3,74
Chamraud,3 index,1515,2,80.91
Chandlawar Urf Mahalwala,3 index,1332,2,86.12
Chandpur,3 index,1652,3,70
Chhuchai,3 index,1570,3,105
Chitwana Sherpur,4 index,5400,4,725
Dabkheri,1 index,794,1,60
Dabthla,3 index,1200,2,62
Dariapur,4 index,3600,3,410
Daulatpur Urf Mamipur,3 index,1200,3,175
Dayalpur,4 index,1650,3,220
Dayalpur,4 index,600,2,85
Dedupur,3 index,2800,3,250
Dhanpura,3 index,1750,3,110
Dhanpura,2 index,1053,2,48
Dhikauli,3 index,1100,3,53
Dhuma Nagli,3 index,1665,3,70
Dudheli Bangar,4 index,4051,4,345
Dudhli Khadar,4 index,5500,5,1500
Duperi Chaw,3 index,1447,3,80
Durveshpur,2 index,1012,2,75
Fajilpur,3 index,1900,3,60
Fatehpur Narain,2 index,1308,2,92.66
Fatehpur Prem,4 index,3250,4,230
Firozpur,1 index,1351,2,53
Ftahpur Hansapur,2 index,1000,2,22
Gagsona,4 index,1200,4,350
Gajraula,2 index,1140,2,49.11
Gajrauli,4 index,2249.81 - 4112.19,4,260.5
Gajupura,3 index,1250,2,55
Ganeshpur,3 index,1290,3,45.15
Garina,2 index,1424,2,90
Gayanagla Urf Nagla Katar,3 index,1320,2,60.6
Gazipur,3 index,1662,3,85.5
Gesupur Januvi,5 index,8321,5,2700
Gesupur Shumali,2 index,1200,2,45
Gokulpur,3 index,1975,3,210
Govindpur Sakarpur,3 index,1295,2,59.5
Govindpuri,3 index,1777,3,100
Guramb,3 index,1900,3,108
Gurha,3 index,1576,3,59.1
Hadipur Gaori,2 index,1020,2,41
Haripur,3 index,2100,3,170
Harisinghpur,1 index,648,1,31.75
Hasanpur Kalan,3 index,1167,2,38
Hastinapur (NP),7 index,1000,7,160
Hastinapur Kaurwan,2 index,1220,2,50.89
Hastinapur Pandwan,3 index,2350,5,327
Hatoopura,2 index,1259,2,67.4
Hazratpur,4 index,2000,4,82
Himaupur,3 index,1800,3,80
Ibrahimpur,3 index,1991,3,160
Ikwara,3 index,1665,3,110
Issapur,2 index,1234,2,61
Jafarpur Nagla,3 index,1340,2,64.31
Jai,2 index,1170,2,46.79
Jaisinghpur,2 index,995,2,46
Jalalpur Jora,2 index,1075,2,60
Jalalpur Maqbulpur,2 index,1025,2,54.5
Jalalpur Raunakali,3 index,2721,3,113
Jamalpur Khadar,3 index,2000,3,99
Jamalpur-Meghrajpur,4 index,2500,4,155
Jandheri,2 index,1325,2,70
Jarauda,2 index,1314,2,68.2
Jataula,3 index,2265,3,136
Jeetpur,7 index,4800,7,170
Jharaka,2 index,1026,2,41
Jhijharpur,3 index,1200,3,66
Jhunjhunee,3 index,2220,4,65
Kabirpur,2 index,1070 - 1315,2,51.22
Kailirampur,2 index,1420,2,99.39
Kandala,3 index,1888,4,95
Kanker Khera,2 index,1300,2,90.87
Kareempur,2 index,1216,2,97.16
Kasimpur,4 index,3000,4,342
Katra,3 index,1559,3,63
Kayasth Barha,2 index,1290,2,87
Khaikhera,6 index,2400,6,245
Khalidpur,1 index,905,1,55
Khand Awli,2 index,1069,2,55
Khanpur Banger,2 index,829,2,22.8
Khanpur Garhi,2 index,1900,2,200
Khanwala,5 index,3040Sq. Meter,5,140
Kharkhali,3 index,1300,3,60
Khata,2 index,1115,2,33.45
Khatki,3 index,2409,3,360
Khejuri Alyarpur,3 index,2150,4,125
Kheri Kalan,3 index,1305,2,69
Kheri Khurd,2 index,1252,2,56.32
Kheri Manihar,5 index,2400,5,250
Kherki Jadid,2 index,1200,2,46.13
Khijarpur,3 index,1750,3,130
Khor Ahir,2 index,545,1,35
Khorrai,2 index,1375,2,105
Kiratpur,2 index,1313,2,66.5
Kishanpur,4 index,3640,4,275
Kishanpur Birana,3 index,1693,3,108
Kishorpur,2 index,1160,2,41.75
Kithaur (NP),3 index,1200,3,200
Kithor Rural,3 index,1255,2,79
Kohla,4 index,1000,4,75
Kol,2 index,900,2,45
Kunda,3 index,1700,3,90
Kunehra,3 index,1875,3,180
Kuri Kamalpur,3 index,1700,3,88
Kutubpur,3 index,1749,3,115
Laliyana,2 index,1500,3,65
Lalpur,2 index,1175,2,48
Lalpur,2 index,1280,2,60
Latifpur,2 index,1200,2,50
Lutfullapur Baksar,3 index,1610,2,115
Machhra,2 index,1070,2,46
Mahamudpur Shikhera,2 index,1200,2,66
Mahmudabad,2 index,1127,2,50
Mahmudpur Garvi,2 index,1210,2,102
Mahmudpur Sherki,2 index,600,2,23
Makhannagar,4 index,4190,4,380
Makhdumpur,2 index,1364,2,70
Mamipur,4 index,2268,3,146
Mandwari,3 index,1150,2,77.5
Manoharpur,2 index,1146,2,39.5
Manpur,2 index,1345,2,55
Manpur,2 index,1110,2,41
Matora,2 index,750,2,36
Mavi,2 index,1156,2,49.5
Mawana (NPP),2 index,1247,2,59.8
Mawana Kalan,2 index,1058,2,60
Mawana Khurd,2 index,950,2,48
Meerpur,2 index,420,2,35
Meerpur Sadhunagal,4 index,600,2,90
Meghrajpur,3 index,1520,2,103
Mewa,2 index,1215,2,58.86
Mirzapur,1 index,900,1,30
Mishipur,3 index,2350,3,174
Mohammadpur Kheri,2 index,1050,2,46
Mohammadpur Shakist,3 index,1672,3,150
Mor Kalan,5 index,2800,5,125
Morkhurd,3 index,1500,2,65
Mubarikpur,2 index,1400,2,65
Mubarikpur,4 index,500Sq. Yards,4,378
Murad Gaon Urf Kuwan Khera,4 index,2700,4,130
Muradpur Urf Sholda,2 index,920,2,37.46
Muzaffarpur Khunti,3 index,1200,3,70
Nagla Azdi,3 index,1250,3,139
Nagla Chand,3 index,1817,4,153
Nagla Gusai,5 index,2043,6,375
Nagla Hareroo,2 index,1140,2,46
Nagla Jarif,4 index,4346,4,450
Nagla Salempur,2 index,1464,2,56
Nagla Shahu,2 index,1468,3,130
Nagli Abdulla,3 index,1555,2,82
Nagli Issa,6 index,1200,4,110
Nagli Khadar,2 index,1150,2,55
Nagli Kithaur,2 index,970,2,35
Nagori,4 index,2500,4,95
Nai Putha,2 index,1166,2,53
Naidru,3 index,2779,3,317
Narangpur,3 index,1350,3,58
Nasarpur,2 index,900,2,46
Navipur Amanatnagar,3 index,1300,2,52
Nawal Surajpur,3 index,1190,3,55
Neemka,3 index,1495,2,75
Niloha,2 index,1224,2,105
Nimka Viran,3 index,1350,2,68
Nirawali,2 index,940,2,56.8
Nityanandpur,2 index,1100,2,55
Paharpur,2 index,1300,2,61
Paharpur Kutub,3 index,1480,2,145
Paharpur Ram,2 index,1105,2,46.37
Pali,3 index,2600,3,200
Palra,3 index,1517,3,76.3
Parichhatgarh,6 index,3800,8,200
Parikshitgarh (NP),3 index,1615,3,89.75
Partapur Hansapur,3 index,1500,3,65
Paswara,3 index,1082,3,50.5
Pathanpur,2 index,1365,2,73
Penai,2 index,1000,2,25
Phalauda (NP),2 index,1392,2,98
Phalawda Rural,2 index,1086,2,33.66
Phitkari,3 index,1586,3,93.94
Pilona,2 index,1100,2,60
Poothi,2 index,1065,2,30.75
Rachhoti,3 index,1500,2,120
Radhna Inayatpur,3 index,1575,2,120
Rafan,3 index,1975,3,123
Rahawati,2 index,820,2,24
Rahmapur,3 index,1745,3,110
Rajoopur,2 index,1223,2,60
Rampur Ghoria,3 index,1200,2,65
Rampur Sadhu Nagli,2 index,1200,2,90
Rasulpur Goari,1 index,665,1,46.08
Rasulpur Hansapur,2 index,1351,2,70
Rasulpur Ikla,3 index,1355,3,83.87
Rathaura Khurd,3 index,3900,3,300
Rathora Kalan,3 index,1588,3,75.55
Rehadra,2 index,900,2,60
Roopra,3 index,440,3,50
Rustampur Bhikund,4 index,3385,4,260
Sadarpur,3 index,1370,2,75
Sadullapur,3 index,1500,3,71.8
Sadullapur,3 index,2280,3,285
Saidipur Sadipur Urf Ramnagar,3 index,1100,3,53
Saidipur Seth,2 index,1247,2,53
Saifpur Firojpur,3 index,2000,3,200
Saifpur Karamchandpur,2 index,1020.07,2,68.38
Sakoti,3 index,1033,2,32
Salah Rasulpur Panah,3 index,1460,2,73
Salarpur,2 index,1150,2,52.8
Sandhan,5 index,5965,5,385
Sanota,2 index,1141,2,46
Sarai Khadar,4 index,2806 - 3019,6,125.5
Sarangpur,4 index,4200,4,325
Sathla,3 index,1665,2,125
Seena,2 index,1295,2,64
Shah Kulipur,2 index,1230,2,78
Shahabad Garhi,3 index,1080,2,75
Shahajhapur,2 index,1000,2,60
Shahapur,3 index,2400,2,50
Shahapur Khadar,1 index,613 - 648,1,32.79
Shahipur,3 index,1708,3,75
Shahpur Sultanpur,3 index,1697,3,115
Shahzadpur,4 index,3537,5,210
Shamashpur,1 index,615,1,28.29
Shamaspur,3 index,1350,2,83
Sherpur,3 index,1430 - 1630,,66.4
Shikhera,2 index,1083,2,32.49
Shimla,3 index,1460,2,65
Shirjepur,2 index,1084,2,58
Shivpuri,2 index,1035,2,41.43
Shodatt,3 index,2400,2,150
Sikandarpur,1 index,460,1,21
Singhpur,5 index,950,5,90
Sona,2 index,1285,2,55.9
Sujatpur,19 index,2000,16,490
Sultanpur Dabal,3 index,1200,3,78
Tajpura,2 index,1070,2,35
Takhawali,3 index,1801,3,140
Tarapur,3 index,1697,3,115
Tarbiyatpur Janubi,2 index,1199,2,65
Tarbiyatpur Shumali,3 index,2300,3,220
Tatina,3 index,1340,2,64.31
Tigri,4 index,3800,4,205
Tofapur,5 index,600,5,50
Veerkhera,2 index,1125,2,75
Akhtyarpur,2 index,1200,2,67
Alamgirpur-Faridpur,2 index,1050,2,41
Andawali,2 index,956,2,49
Aterna,2 index,1000,2,30
Atmadnagar Allipur,3 index,1596,3,95
Aurangnagar Rardhana,6 index,1200,5,150
Badruddinnagar Nanu,2 index,1296,2,89.06
Bahadurpur,6 index,1200,7,170
Bahrala,3 index,1639,3,123
Baparsa,2 index,1219,2,61.25
Baparsi,3 index,1200,3,50
Barkali Nekpur,2 index,1218,2,73
Batjeora,2 index,920,2,37
Bhalsauna,3 index,2559,3,141
Bhamori,1 index,525,1,26
Bharota,3 index,1427,2,48.51
Bhawa-Nagla,3 index,1270,3,45
Bhuni,2 index,920,2,65
Bihta,4 index,2700,3,68
Bubakpur,3 index,1740,3,199
Chandna,3 index,1355,2,40
Charla,3 index,1530,2,90
Chhabariya,3 index,1372,2,90
Chhur,4 index,2363,5,120
Chindauritappa Lawar,4 index,3895,4,220
Chirori,3 index,1950,3,131
Dabathuwa,2 index,885,2,40
Dabathuwa Garhi,2 index,600,2,27
Dadri,5 index,1270,4,128
Dahar,2 index,1380,2,225
Daulatpur,2 index,1339,2,62
Daurala (NP),2 index,1130,2,36
Deoli Khera Urf Jainpur,2 index,1085,2,43
Dhanju,3 index,1430,3,72
Dhanwali,4 index,1451.5,4,121
Dulehra Chauhan,5 index,6200,5,720
Gesupur Baphawat,3 index,1490,2,59.6
Gotka,4 index,1650,4,99
Harar,2 index,1286,2,57
Ikari,2 index,925,2,63
Jafarnagar-Begamabad,4 index,3016,4,230
Jainpur,2 index,1000,2,44
Jalalabad Urf Jalalpur,2 index,1215,2,39
Jalalpur-Akkhepur,4 index,1200,3,95
Jamalpur Goma,2 index,1336,2,100
Jamalpur Jalalpur,1 index,673,1,36.85
Jasar Sultannagar,2 index,1200,2,58
Jasrathpur,6 index,600,7,63
Jeori,3 index,1600,3,160
Jhitkari,2 index,1200,2,79
Jitpur,6 index,2480,4,750
Julehra,3 index,2500,3,270
Kaili,5 index,2400,5,100
Kailota,2 index,1143,2,65
Kakkepur,2 index,1470,2,61.74
Kaland,4 index,1584,3,145
Kalandi,3 index,1785,3,94
Kamaruddinnagar Madhiyai,3 index,2292,3,286
Kanora,3 index,1460,3,71
Kapsarh,3 index,1500,2,80
Karnawal (NP),5 index,1200,4,140
Karnawal Rural,5 index,3300,3,250
Khanuda,2 index,1230,2,48
Khawajahanpur-Kushawali,1 index,650,1,20
Khera,2 index,1480,2,120
Kheri Jatran,2 index,1220,2,43.92
Kheri Kalan,3 index,1570,3,115
Kheri Tappa Lawar,3 index,3000,3,400
Khirwa Jalalpur,3 index,1665,3,86.91
Khirwa Nauabad,3 index,1350,3,380
Khiwai,4 index,4000,5,600
Kulanjan,2 index,1100,2,68
Lawar (NP),3 index,1350,2,87.01
Lawar Janaali Rural,3 index,1719,3,116
Lawar Khas Rural,1 index,664,1,35
Lawri Hiranpur,2 index,1011,2,50.53
Loiya,6 index,2400,6,130
Machhri,3 index,1680,3,85
Madaripur,2 index,704 - 730,2,49.475
Madarpura,4 index,700,4,110
Mahadeo,3 index,1520,2,150
Mahalka,3 index,1350,2,53
Mail,3 index,1760,3,150
Mainaputhi,2 index,875,2,33
Maithna Indersingh,2 index,1231,2,48
Mamupur Urf Dedwa,2 index,1174,2,74
Mamuri,3 index,1560,3,75
Mandora,2 index,1464,2,56
Mataur,3 index,2200,3,130
Mawi Mira,2 index,850,2,55
Meharmati Ganeshpur,3 index,1750,3,180
Mithepur,3 index,2024,3,157
Mohammadpur Akbarpur Chakbandi,2 index,1500,1,160
Mohammadpur Akbarpur Chakbandi,6 index,2100,6,275
Mohammadpur Hayak,3 index,2408,4,260
Mohanipur,2 index,1080,2,44
Mozamabad-Jwalagarh,3 index,2070,3,225
Mukhtyarpur Nagla,2 index,1020,2,29.46
Mulhaira,3 index,1500,2,55
Nagla Order,4 index,1575,5,158
Nagla Rathi,4 index,3250,4,180
Nagli Ajar Salempur,2 index,1175,2,47
Nagli Mazra Mataur,2 index,1030,2,34.5
Nagli Sadharan,2 index,1440,2,115
Nahli,2 index,1500,2,84
Nangla Sani,1 index,1380,1,62.1
Nehori,2 index,1200,2,50
Pali,1 index,705,1,36.5
Panchli Buzurg,3 index,2240,5,155
Panwari,3 index,1584.01,3,103
Pathauli,3 index,1340,3,77
Pavli Khas,3 index,1800,3,70
Pavli Khurd,2 index,1200,2,45
Pithlokhar,1 index,685,1,40
Pohali,2 index,925,2,42
Rajpur Momin,2 index,1230,2,57
Rasulpur Muradnagar,5 index,1200,5,185
Ratauli,2 index,1125,2,52
Rithali,2 index,1100,2,54
Ruhasa,3 index,2400,3,149
Sahipur Daurala,3 index,1400,2,41.58
Sakoti,7 index,1200,7,225
Salawa,3 index,1858,3,98.3
Samaspur,1 index,1260,1,41
Samaspur Surani,4 index,3530,4,290
Samoli-Salempur,2 index,1185,2,60
Sardhana (NPP),2 index,1200,2,216
Sardhana (Rural),2 index,1255,2,58
Saroli Viran,4 index,3436,6,475
Sarswa,3 index,1335,3,89
Sarurpur Khurd,3 index,1999,3,132
Shahpur Pirpur,2 index,1200,2,125
Shahpur Zadid,3 index,1397,3,110
Siwaya-Jamalullapur,10 index,1200,10,105
Tanda,4 index,3950,4,450
Tandi,2 index,1200,2,130
Teharki,3 index,1616,3,95
Ulakhpur,8 index,1200,7,350
Walidpur,4 index,1270,2,175
Zafrabad-Durweshpur,2 index,1140,2,38.55
Afzalpur Pawati,1 index,525,1,30
Ahara,3 index,1200,2,98
Ajnauli,1 index,700,1,162
Ajrara,2 index,1205.47,2,81
Alamgir Pur,3 index,1200,3,130
Alampur Buzurg,3 index,1700,3,75
Allipur,5 index,750,4,62
Allipur Jijmana,2 index,1090,2,54.54
Amanullapur,4 index,3600,5,220
Amehra Adipur (CT),1 index,2400,1,650
Aminagar Urf Bhurbaral (CT),1 index,923,1,60.84
Arnawali,4 index,3595,6,360
Ataula,2 index,1050,2,48
Atrara,2 index,1495,2,79.5
Azampur,3 index,1482 - 1846,,93.865
Azizpur,3 index,1485,3,85
Badha Girdharpur,3 index,1033,2,31.5
Badhala Kaithwara,3 index,1400,2,48
Badholi,1 index,500,1,70
Bafar,2 index,944,2,35
Bahadurpur,5 index,3250,5,290
Bahchaula,2 index,1216,2,66.48
Bahrampur Khas,2 index,1100,2,39.5
Bahrampur Morna,3 index,1743,3,93.25
Bajaut,2 index,1274,2,48.42
Banwaripur,3 index,2500,3,425
Baram,3 index,1512,2,110
Barhanpur,4 index,3100,5,385
Basatikri,3 index,1650,3,100
Bhadaura,3 index,1875,3,55
Bhagwanpur,3 index,1350,3,54
Bhagwanpur Chittawan,2 index,1219,2,40
Bhagwanpur Khalsa,4 index,1200,4,150
Bhavi,3 index,2400,3,85
Bhawanpur,2 index,1141,2,44.4
Bhurpur,2 index,1151,2,43.1
Bijoli,3 index,832,3,77
Bohla,2 index,915,2,38
Chak Morna,3 index,3259,3,270
Chandora,2 index,1115,2,65.12
Chandsara,3 index,2072,4,139
Chhajmalpur Urf Chhajupur,2 index,1200,2,53
Chhattri,2 index,1300,2,65
Chindori Khas,2 index,1457,2,85
Chindori Patti Dalu,2 index,1262,2,55
Chobla,4 index,1196,3,150
Dalampur,2 index,900,2,22.5
Damgarhi,1 index,420,1,17
Datavali Gesupur,2 index,1160,2,46.39
Daulatpur Fakhrabad Urf Kayast,2 index,1115,2,50
Dhadra,3 index,1315,2,85.4
Dhanota,2 index,1500,2,57
Dhikauli,2 index,1127,2,68
Dhilaura,3 index,1397,3,104
Dhindala,2 index,1173,2,60
Dhir Khera,2 index,1090,2,28
Dilwara,3 index,2720,5,210
Dimoli,2 index,1230,2,76
Dungar,4 index,3200,3,190
Durjanpur,2 index,858,2,31.57
Faizabad Pachgaon,3 index,1868,3,121
Fakharpur Kabatta,3 index,1689.28,3,91.2
Fatehpur,4 index,600,3,73
Fatehpur Ambkhera,3 index,1425,3,49.88
Gagaul,6 index,1200,6,170
Gangheri,2 index,1350,2,100
Gejha,6 index,4200,6,180
Ghat,3 index,1310,2,85
Govindpur,4 index,2805 - 3565,,175
Govindpur Urf Ghasauli,2 index,970,2,40
Gyanpur,3 index,1397,3,108
Hajipur,2 index,1157,2,40
Hasanpur Qadim,2 index,1125,2,61.2
Hasanpur Razapur,2 index,1157,2,42
Idris Pur,2 index,1241,2,82
Ikla,1 index,660,1,62
Incholi,4 index,4000,4,220
Islamabad Chhilora,4 index,2340,4,148
Itayira,1 index,596,1,42
Jalalpur,16 index,10000,16,550
Jalaluddinpur Masoodpur Gawri,4 index,1200,4,110
Jamalpur Majra,3 index,1910,3,190
Jangethi,2 index,1139,2,80
Jani Buzurg,4 index,3122,5,225
Jani Khurd,2 index,1033,2,28.41
Janjokhar,2 index,1168,2,64.08
Jasora,2 index,877,2,42
Jasori,2 index,1340,2,75
Jataula,3 index,1405,2,70
Jatpura,3 index,1800,3,65
Jithauli,3 index,1750,3,149
Johra,3 index,1360,2,65
Jurranpur,3 index,675,2,148
Kaili,2 index,985,2,63
Kaithwari,2 index,1300,2,129
Kalanjari,3 index,1850,3,150
Kalina,3 index,1490,2,88
Kalyan Pur,2 index,620,1,25
Kamalpur,2 index,1130,2,42.3
Kanauni,2 index,1080,2,55
Kastala Shamshernagar,4 index,3126,4,120
Kaul,3 index,1410,2,52.17
Kazamabadgoon,3 index,1375,3,59
Khajuri,3 index,1290,2,94.5
Khandawali,3 index,1318,2,85.28
